RESSTREET,RES_CITY,RES_STATE,RES_ZIP,RES_ZIP4,PRECINCT,WARD,ANC,SMD
UPTON ST NW,WASHINGTON,DC,20016,,33.00,3,3F,3F01
KENTUCKY AVE SE,WASHINGTON,DC,20003,,91.00,6,6B,6B09
EAST CAPITOL ST NE,WASHINGTON,DC,20019,,102.00,7,7D,7D05
MISSOURI AVE NW,WASHINGTON,DC,20011,,58.00,4,4B,4B04
GOOD HOPE  CT SE,WASHINGTON,DC,20020,,134.00,8,8B,8B01
MALCOLM X AVE SE,WASHINGTON,DC,20032,,123.00,8,8C,8C01
ALBEMARLE ST NW,WASHINGTON,DC,20016,,30.00,3,3E,3E+01
HILLTOP TER SE,WASHINGTON,DC,20019,,106.00,7,7E,7E+01
39TH ST NW,WASHINGTON,DC,20016,,29.00,3,3C,3C06
7TH ST NW,WASHINGTON,DC,20011,,59.00,4,4B,4B03
CONNECTICUT AVE NW,WASHINGTON,DC,20008,,138.00,3,3F,3F04
U ST NW,WASHINGTON,DC,20009,,22.00,1,1B,1B12
HAMILTON ST NW,WASHINGTON,DC,20011,,56.00,4,4D,4D03
NEVADA AVE NW,WASHINGTON,DC,20015,,50.00,3,3G,3G05
HUNTER PL SE,WASHINGTON,DC,20020,,114.00,8,8A,8A04
39TH ST NW,WASHINGTON,DC,20007,,11.00,3,3B,3B05
HOLBROOK TER NE,WASHINGTON,DC,20002,,76.00,5,5D,5D02
JUNIPER ST NW,WASHINGTON,DC,20012,,62.00,4,4A,4A02
CONNECTICUT AVE NW,WASHINGTON,DC,20008,,138.00,3,3F,3F04
JASPER ST SE,WASHINGTON,DC,20020,,115.00,8,8B,8B05
SHERIDAN ST NW,WASHINGTON,DC,20011,,60.00,4,4A,4A04
BENNING RD SE,WASHINGTON,DC,20019,,106.00,7,7E,7E+03
21ST ST NE,WASHINGTON,DC,20002,,78.00,5,5D,5D03
CHESAPEAKE ST SE,WASHINGTON,DC,20032,,126.00,8,8D,8D06
HOBART ST NW,WASHINGTON,DC,20009,,39.00,1,1D,1D05
GAINESVILLE ST SE,WASHINGTON,DC,20020,,115.00,8,8B,8B05
G ST SE,WASHINGTON,DC,20003,,91.00,6,6B,6B07
FORT TOTTEN DR NE,WASHINGTON,DC,20011,,44.00,5,5A,5A06
LANGSTON PL SE,WASHINGTON,DC,20020,,115.00,8,8B,8B02
LANGSTON PL SE,WASHINGTON,DC,20020,,115.00,8,8B,8B02
COLUMBIA RD NW,WASHINGTON,DC,20009,,35.00,1,1C,1C06
R ST SE,WASHINGTON,DC,20020,,110.00,7,7E,7E+02
BUTTERWORTH PL NW,WASHINGTON,DC,20016,,31.00,3,3E,3E+02
NEW JERSEY AVE NW,WASHINGTON,DC,20001,,1.00,6,6E,6E+07
50TH PL NE,WASHINGTON,DC,20019,,94.00,7,7C,7C01
8TH ST NW,WASHINGTON,DC,20012,,59.00,4,4B,4B03
FORT DR NE,WASHINGTON,DC,20011,,44.00,5,5A,5A06
COLUMBIA RD NW,WASHINGTON,DC,20009,,36.00,1,1A,1A03
21ST ST SE,WASHINGTON,DC,20020,,116.00,8,8B,8B07
K ST NW,WASHINGTON,DC,20001,,1.00,6,6E,6E+05
3RD ST NE,WASHINGTON,DC,20002,,130.00,6,6C,6C02
CONNECTICUT AVE NW,WASHINGTON,DC,20008,,33.00,3,3F,3F06
52ND CT NW,WASHINGTON,DC,20016,,9.00,3,3D,3D03
LOCUST RD NW,WASHINGTON,DC,20012,,62.00,4,4A,4A02
36TH ST SE,WASHINGTON,DC,20020,,110.00,7,7B,7B04
TRENTON PL SE,WASHINGTON,DC,20032,,120.00,8,8E,8E+04
BANKS PL NE,WASHINGTON,DC,20019,,96.00,7,7C,7C02
IDAHO AVE NW,WASHINGTON,DC,20016,,27.00,3,3C,3C05
I ST NE,WASHINGTON,DC,20002,,82.00,6,6A,6A01
CHESAPEAKE ST SE,WASHINGTON,DC,20032,,125.00,8,8D,8D01
BASS PL SE,WASHINGTON,DC,20019,,104.00,7,7E,7E+04
L ST NE,WASHINGTON,DC,20002,,78.00,5,5D,5D03
EDGEWOOD ST NE,WASHINGTON,DC,20017,,74.00,5,5E,5E+02
15TH ST NE,WASHINGTON,DC,20002,,86.00,6,6A,6A04
RALEIGH ST SE,WASHINGTON,DC,20032,,123.00,8,8C,8C03
BLAINE ST NE,WASHINGTON,DC,20019,,97.00,7,7C,7C03
JASPER ST SE,WASHINGTON,DC,20020,,115.00,8,8B,8B03
NEVADA AVE NW,WASHINGTON,DC,20015,,50.00,3,3G,3G05
SEATON PL NE,WASHINGTON,DC,20002,,75.00,5,5E,5E+03
DELAWARE AVE SW,WASHINGTON,DC,20024,,127.00,6,6D,6D06
BLADENSBURG RD NE,WASHINGTON,DC,20018,,139.00,5,5C,5C03
17TH ST NW,WASHINGTON,DC,20036,,15.00,2,2B,2B07
MASSACHUSETTS AVE NW,WASHINGTON,DC,20036,,15.00,2,2B,2B07
29TH ST NW,WASHINGTON,DC,20007,,5.00,2,2E,2E+07
CONNECTICUT AVE NW,WASHINGTON,DC,20008,,27.00,3,3F,3F07
7TH ST NW,WASHINGTON,DC,20011,,56.00,4,4D,4D03
CHAMPLAIN ST NW,WASHINGTON,DC,20009,,24.00,1,1C,1C07
CALVERT ST NW,WASHINGTON,DC,20007,,11.00,3,3B,3B01
ELMIRA ST SE,WASHINGTON,DC,20032,,125.00,8,8D,8D01
LEGATION ST NW,WASHINGTON,DC,20015,,32.00,3,3E,3E+04
SHEPHERD ST NW,WASHINGTON,DC,20011,,47.00,4,4C,4C05
TUNLAW RD NW,WASHINGTON,DC,20007,,11.00,3,3B,3B01
13TH ST SE,WASHINGTON,DC,20003,,88.00,6,6B,6B05
CANAL ST SW,WASHINGTON,DC,20024,,127.00,6,6D,6D06
E ST SE,WASHINGTON,DC,20003,,90.00,6,6B,6B03
NORTH CAPITOL ST NW,WASHINGTON,DC,20012,,64.00,4,4B,4B07
COLUMBIA RD NW,WASHINGTON,DC,20009,,25.00,1,1C,1C03
47TH ST NE,WASHINGTON,DC,20019,,98.00,7,7C,7C03
18TH ST NW,WASHINGTON,DC,20009,,141.00,2,2B,2B08
TRACY PL NW,WASHINGTON,DC,20008,,13.00,2,2D,2D01
ELVANS RD SE,WASHINGTON,DC,20020,,118.00,8,8B,8B04
2ND ST SE,WASHINGTON,DC,20032,,123.00,8,8C,8C01
NEWCOMB ST SE,WASHINGTON,DC,20032,,123.00,8,8C,8C03
Q ST SE,WASHINGTON,DC,20020,,111.00,7,7B,7B02
PARK RD NW,WASHINGTON,DC,20010,,39.00,1,1A,1A05
SPRINGDALE ST NW,WASHINGTON,DC,20016,,30.00,3,3E,3E+05
C ST SE,WASHINGTON,DC,20019,,103.00,7,7F,7F05
RHODE ISLAND AVE NW,WASHINGTON,DC,20005,,17.00,2,2F,2F03
NORTH CAPITOL ST NW,WASHINGTON,DC,20011,,57.00,4,4D,4D05
N ST SE,WASHINGTON,DC,20019,,111.00,7,7B,7B03
51ST ST SE,WASHINGTON,DC,20019,,106.00,7,7E,7E+03
SHERMAN AVE NW,WASHINGTON,DC,20001,,37.00,1,1B,1B09
9TH ST SE,WASHINGTON,DC,20003,,90.00,6,6B,6B04
ONTARIO PL NW,WASHINGTON,DC,20009,,35.00,1,1C,1C04
HARRISON ST NW,WASHINGTON,DC,20015,,32.00,3,3E,3E+04
LEROY PL NW,WASHINGTON,DC,20008,,13.00,2,2D,2D02
P ST NW,WASHINGTON,DC,20001,,19.00,5,5E,5E+05
RANDOLPH ST NW,WASHINGTON,DC,20011,,45.00,4,4C,4C08
RANDOLPH PL NW,WASHINGTON,DC,20001,,19.00,5,5E,5E+07
CLIFTON ST NW,WASHINGTON,DC,20009,,23.00,1,1B,1B06
11TH ST NW,WASHINGTON,DC,20010,,38.00,1,1A,1A11
MASSACHUSETTS AVE NW,WASHINGTON,DC,20005,,17.00,2,2F,2F08
WHITE PL SE,WASHINGTON,DC,20020,,133.00,8,8A,8A01
4TH ST SE,WASHINGTON,DC,20032,,125.00,8,8D,8D02
SHIPLEY TER SE,WASHINGTON,DC,20020,,115.00,8,8B,8B05
RAYNOLDS PL SE,WASHINGTON,DC,20020,,134.00,8,8B,8B03
19TH ST SE,WASHINGTON,DC,20020,,116.00,8,8B,8B07
SHEPHERD ST NW,WASHINGTON,DC,20011,,47.00,4,4C,4C05
BONINI RD SE,WASHINGTON,DC,20032,,125.00,8,8D,8D01
DOWNING ST NE,WASHINGTON,DC,20018,,72.00,5,5C,5C06
COLUMBIA RD NW,WASHINGTON,DC,20001,,38.00,1,1A,1A10
20TH ST NE,WASHINGTON,DC,20018,,72.00,5,5C,5C07
1ST ST SE,WASHINGTON,DC,20032,,124.00,8,8D,8D07
MC COLLOUGH CT NW,WASHINGTON,DC,20001,,18.00,6,6E,6E+04
28TH PL SE,WASHINGTON,DC,20020,,111.00,7,7B,7B02
JAMES PL NE,WASHINGTON,DC,20019,,95.00,7,7C,7C06
G ST NE,WASHINGTON,DC,20002,,82.00,6,6A,6A01
N ST NW,WASHINGTON,DC,20001,,129.00,2,2F,2F06
HALLEY PL SE,WASHINGTON,DC,20032,,124.00,8,8C,8C05
24TH ST NE,WASHINGTON,DC,20002,,72.00,5,5C,5C04
INDEPENDENCE AVE SE,WASHINGTON,DC,20003,,88.00,6,6B,6B08
ANACOSTIA RD SE,WASHINGTON,DC,20019,,107.00,7,7F,7F04
HOLBROOK ST NE,WASHINGTON,DC,20002,,77.00,5,5D,5D06
29TH ST NW,WASHINGTON,DC,20007,,5.00,2,2E,2E+06
5TH ST NW,WASHINGTON,DC,20011,,56.00,4,4D,4D03
R ST NW,WASHINGTON,DC,20001,,21.00,6,6E,6E+01
PARK RD NW,WASHINGTON,DC,20010,,43.00,1,1A,1A09
HOWISON PL SW,WASHINGTON,DC,20024,,127.00,6,6D,6D06
3RD ST SW,WASHINGTON,DC,20024,,128.00,6,6D,6D03
50TH PL NE,WASHINGTON,DC,20019,,97.00,7,7C,7C01
INGLESIDE TER NW,WASHINGTON,DC,20010,,40.00,1,1D,1D03
BURNS ST SE,WASHINGTON,DC,20019,,106.00,7,7E,7E+01
R ST NW,WASHINGTON,DC,20001,,19.00,5,5E,5E+06
17TH PL NE,WASHINGTON,DC,20002,,86.00,6,6A,6A08
KENILWORTH AVE NE,WASHINGTON,DC,20019,,100.00,7,7D,7D02
N ST NW,WASHINGTON,DC,20005,,17.00,2,2F,2F07
GRANT CIR NW,WASHINGTON,DC,20011,,46.00,4,4C,4C09
30TH ST SE,WASHINGTON,DC,20020,,115.00,8,8B,8B05
4TH ST NW,WASHINGTON,DC,20011,,58.00,4,4B,4B05
AMES ST NE,WASHINGTON,DC,20019,,102.00,7,7F,7F06
K ST NE,WASHINGTON,DC,20002,,78.00,5,5D,5D03
H ST NW,WASHINGTON,DC,20001,,143.00,2,2C,2C02
3RD ST NW,WASHINGTON,DC,20011,,55.00,4,4C,4C09
E ST NE,WASHINGTON,DC,20002,,80.00,7,7D,7D01
17TH ST NW,WASHINGTON,DC,20009,,35.00,1,1C,1C06
E ST SE,WASHINGTON,DC,20003,,91.00,6,6B,6B09
M ST NE,WASHINGTON,DC,20002,,83.00,6,6C,6C06
11TH ST NW,WASHINGTON,DC,20001,,37.00,1,1B,1B03
BELLEVUE TER NW,WASHINGTON,DC,20016,,28.00,3,3C,3C07
B ST SE,WASHINGTON,DC,20019,,105.00,7,7E,7E+06
F ST NE,WASHINGTON,DC,20002,,82.00,6,6A,6A02
ONTARIO RD NW,WASHINGTON,DC,20009,,24.00,1,1C,1C08
NEAL ST NE,WASHINGTON,DC,20002,,77.00,5,5D,5D06
MASSACHUSETTS AVE SE,WASHINGTON,DC,20019,,106.00,7,7E,7E+02
CHILLUM PL NE,WASHINGTON,DC,20011,,65.00,4,4B,4B09
ELM ST NW,WASHINGTON,DC,20001,,20.00,1,1B,1B01
16TH ST NW,WASHINGTON,DC,20010,,40.00,1,1D,1D02
U PL SE,WASHINGTON,DC,20020,,112.00,8,8A,8A02
25TH ST SE,WASHINGTON,DC,20020,,134.00,8,8B,8B01
KANAWHA ST NW,WASHINGTON,DC,20015,,52.00,4,3G,3G03
IRVING ST NW,WASHINGTON,DC,20010,,39.00,1,1A,1A06
12TH PL NE,WASHINGTON,DC,20017,,67.00,5,5B,5B05
INGRAHAM ST NW,WASHINGTON,DC,20011,,54.00,4,4C,4C02
D ST SE,WASHINGTON,DC,20019,,103.00,7,7F,7F02
1ST ST SE,WASHINGTON,DC,20032,,124.00,8,8C,8C05
EUCLID ST NW,WASHINGTON,DC,20009,,24.00,1,1C,1C07
37TH ST NW,WASHINGTON,DC,20007,,11.00,3,3B,3B02
14TH ST NW,WASHINGTON,DC,20011,,47.00,4,4C,4C04
CONNECTICUT AVE NW,WASHINGTON,DC,20008,,34.00,3,3C,3C05
11TH ST NW,WASHINGTON,DC,20001,,129.00,2,2F,2F06
NEW HAMPSHIRE AVE NW,WASHINGTON,DC,20011,,57.00,4,4D,4D05
LONGFELLOW ST NW,WASHINGTON,DC,20011,,56.00,4,4D,4D01
BLAINE ST NE,WASHINGTON,DC,20019,,102.00,7,7D,7D05
CONNECTICUT AVE NW,WASHINGTON,DC,20008,,33.00,3,3F,3F05
CLAY ST NE,WASHINGTON,DC,20019,,96.00,7,7C,7C05
G ST NE,WASHINGTON,DC,20002,,82.00,6,6A,6A02
NEBRASKA AVE NW,WASHINGTON,DC,20015,,138.00,3,3F,3F05
60TH ST NE,WASHINGTON,DC,20019,,96.00,7,7C,7C05
D ST SE,WASHINGTON,DC,20003,,87.00,6,6B,6B09
LONGFELLOW ST NW,WASHINGTON,DC,20011,,54.00,4,4C,4C01
13TH ST NW,WASHINGTON,DC,20012,,61.00,4,4A,4A04
COLORADO AVE NW,WASHINGTON,DC,20011,,54.00,4,4C,4C01
JEFFERSON ST NW,WASHINGTON,DC,20011,,57.00,4,4D,4D02
44TH ST NE,WASHINGTON,DC,20019,,93.00,7,7D,7D03
21ST ST NE,WASHINGTON,DC,20002,,79.00,5,5D,5D05
HILLTOP TER SE,WASHINGTON,DC,20019,,106.00,7,7E,7E+03
C ST SE,WASHINGTON,DC,20003,,87.00,6,6B,6B09
CONGRESS PL SE,WASHINGTON,DC,20020,,117.00,8,8E,8E+01
VARNEY ST SE,WASHINGTON,DC,20032,,121.00,8,8E,8E+05
KRAMER ST NE,WASHINGTON,DC,20002,,81.00,6,6A,6A07
13TH ST NW,WASHINGTON,DC,20011,,48.00,4,4C,4C03
14TH ST NW,WASHINGTON,DC,20009,,39.00,1,1A,1A11
DELAWARE AVE SW,WASHINGTON,DC,20024,,127.00,6,6D,6D06
BOWEN RD SE,WASHINGTON,DC,20020,,119.00,8,8A,8A07
HARTFORD ST SE,WASHINGTON,DC,20020,,115.00,8,8B,8B02
RIDGECREST CT SE,WASHINGTON,DC,20020,,116.00,8,8E,8E+03
TUNLAW RD NW,WASHINGTON,DC,20007,,11.00,3,3B,3B01
11TH ST NE,WASHINGTON,DC,20017,,66.00,5,5A,5A02
CONGRESS ST SE,WASHINGTON,DC,20032,,120.00,8,8E,8E+01
5TH ST NE,WASHINGTON,DC,20002,,83.00,6,6C,6C05
UNDERWOOD ST NW,WASHINGTON,DC,20012,,59.00,4,4B,4B03
14TH ST NW,WASHINGTON,DC,20011,,60.00,4,4A,4A04
BANGOR ST SE,WASHINGTON,DC,20020,,114.00,8,8A,8A05
53RD ST NE,WASHINGTON,DC,20019,,96.00,7,7C,7C02
13TH ST NW,WASHINGTON,DC,20010,,42.00,1,1A,1A04
BELLEVUE ST SE,WASHINGTON,DC,20032,,125.00,8,8E,8E+07
5TH ST SE,WASHINGTON,DC,20032,,123.00,8,8C,8C02
14TH ST NW,WASHINGTON,DC,20009,,23.00,1,1B,1B08
LINCOLN RD NE,WASHINGTON,DC,20002,,75.00,5,5E,5E+04
PENNSYLVANIA AVE SE,WASHINGTON,DC,20003,,91.00,6,6B,6B06
IDAHO AVE NW,WASHINGTON,DC,20016,,27.00,3,3C,3C09
BENNING RD SE,WASHINGTON,DC,20019,,104.00,7,7E,7E+04
U ST NW,WASHINGTON,DC,20001,,135.00,5,5E,5E+07
MARTIN LUTHER KING AVE SW,WASHINGTON,DC,20032,,126.00,8,8D,8D04
C ST NE,WASHINGTON,DC,20002,,85.00,6,6A,6A05
ADAMS ST NW,WASHINGTON,DC,20001,,135.00,5,5E,5E+09
KENILWORTH AVE NE,WASHINGTON,DC,20019,,101.00,7,7D,7D04
6TH ST NW,WASHINGTON,DC,20010,,43.00,1,1A,1A08
HARVARD ST NW,WASHINGTON,DC,20009,,39.00,1,1D,1D05
FALLS TER SE,WASHINGTON,DC,20019,,103.00,7,7F,7F03
NORTH CAPITOL ST NW,WASHINGTON,DC,20011,,44.00,5,5A,5A05
I ST NW,WASHINGTON,DC,20037,,3.00,2,2A,2A03
N ST NW,WASHINGTON,DC,20001,,18.00,6,6E,6E+04
M ST SW,WASHINGTON,DC,20024,,127.00,6,6D,6D05
13TH ST NW,WASHINGTON,DC,20011,,47.00,4,4C,4C06
42ND ST NE,WASHINGTON,DC,20019,,102.00,7,7D,7D05
TEWKESBURY PL NW,WASHINGTON,DC,20012,,59.00,4,4B,4B03
37TH ST SE,WASHINGTON,DC,20019,,107.00,7,7F,7F04
MASSACHUSETTS AVE SE,WASHINGTON,DC,20003,,88.00,6,6B,6B08
16TH ST NW,WASHINGTON,DC,20009,,141.00,2,2B,2B09
13TH ST NW,WASHINGTON,DC,20009,,22.00,1,1B,1B04
