RESSTREET,RES_CITY,RES_STATE,RES_ZIP,RES_ZIP4,PRECINCT,WARD,ANC,SMD
GRANT PL NE,WASHINGTON,DC,20019,,100.00,7,7D,7D07
4TH ST NE,WASHINGTON,DC,20002,,74.00,5,5E,5E+02
11TH ST NW,WASHINGTON,DC,20001,,37.00,1,1B,1B03
NEW JERSEY AVE SE,WASHINGTON,DC,20003,,130.00,6,6B,6B01
5TH ST NW,WASHINGTON,DC,20011,,45.00,4,4C,4C10
1ST ST SE,WASHINGTON,DC,20032,,124.00,8,8C,8C04
SWANN ST NW,WASHINGTON,DC,20009,,141.00,2,2B,2B09
THOMAS ST NW,WASHINGTON,DC,20001,,135.00,5,5E,5E+07
SIGSBEE PL NE,WASHINGTON,DC,20017,,68.00,5,5B,5B05
NEW MEXICO AVE NW,WASHINGTON,DC,20007,,28.00,3,3B,3B04
QUARLES ST NE,WASHINGTON,DC,20019,,93.00,7,7C,7C07
11TH ST NW,WASHINGTON,DC,20001,,37.00,1,1B,1B03
22ND ST SE,WASHINGTON,DC,20020,,116.00,8,8B,8B06
ONTARIO RD NW,WASHINGTON,DC,20009,,35.00,1,1C,1C04
4TH ST SE,WASHINGTON,DC,20032,,125.00,8,8D,8D03
7TH ST SE,WASHINGTON,DC,20003,,90.00,6,6B,6B03
HAWAII AVE NE,WASHINGTON,DC,20011,,44.00,5,5A,5A07
2ND ST NW,WASHINGTON,DC,20011,,57.00,4,4D,4D02
M ST SW,WASHINGTON,DC,20024,,127.00,6,6D,6D05
DELAFIELD PL NW,WASHINGTON,DC,20011,,55.00,4,4D,4D06
LANE PL NE,WASHINGTON,DC,20019,,92.00,7,7D,7D02
46TH ST SE,WASHINGTON,DC,20019,,104.00,7,7E,7E+04
O ST NW,WASHINGTON,DC,20001,,18.00,6,6E,6E+04
13TH ST SE,WASHINGTON,DC,20003,,91.00,6,6B,6B07
15TH ST NW,WASHINGTON,DC,20011,,48.00,4,4C,4C03
CLARK PL NW,WASHINGTON,DC,20007,,7.00,3,3D,3D09
PARK PL SE,WASHINGTON,DC,20020,,133.00,8,8A,8A01
DELAFIELD PL NW,WASHINGTON,DC,20011,,54.00,4,4C,4C02
NORTH CAPITOL ST NE,WASHINGTON,DC,20002,,135.00,5,5E,5E+09
29TH ST SE,WASHINGTON,DC,20020,,111.00,7,7B,7B02
K ST NW,WASHINGTON,DC,20001,,1.00,6,6E,6E+05
GIRARD ST NW,WASHINGTON,DC,20009,,36.00,1,1A,1A12
DAVENPORT ST NW,WASHINGTON,DC,20008,,33.00,3,3F,3F05
JAY ST NE,WASHINGTON,DC,20019,,95.00,7,7C,7C06
GLENBROOK RD NW,WASHINGTON,DC,20016,,9.00,3,3D,3D02
NEBRASKA AVE NW,WASHINGTON,DC,20016,,30.00,3,3E,3E+05
MORRIS RD SE,WASHINGTON,DC,20020,,114.00,8,8A,8A06
6TH ST SW,WASHINGTON,DC,20024,,142.00,6,6D,6D01
OLIVE ST NW,WASHINGTON,DC,20007,,5.00,2,2E,2E+06
28TH ST SE,WASHINGTON,DC,20020,,115.00,8,8B,8B05
CATHEDRAL AVE NW,WASHINGTON,DC,20016,,28.00,3,3B,3B04
PENNSYLVANIA AVE NW,WASHINGTON,DC,20004,,143.00,2,2C,2C03
T ST NW,WASHINGTON,DC,20009,,141.00,2,2B,2B09
SAVANNAH ST SE,WASHINGTON,DC,20020,,116.00,8,8B,8B06
HAYES ST NE,WASHINGTON,DC,20019,,98.00,7,7C,7C01
UPTON ST NW,WASHINGTON,DC,20016,,9.00,3,3D,3D02
HAWTHORNE DR NE,WASHINGTON,DC,20017,,44.00,5,5A,5A05
1ST ST NW,WASHINGTON,DC,20011,,57.00,4,4D,4D02
FAIRMONT ST NW,WASHINGTON,DC,20009,,36.00,1,1B,1B08
24TH ST SE,WASHINGTON,DC,20020,,115.00,8,8B,8B03
RANDOLPH PL NW,WASHINGTON,DC,20001,,19.00,5,5E,5E+07
WARDER ST NW,WASHINGTON,DC,20010,,43.00,1,1A,1A09
OREGON AVE NW,WASHINGTON,DC,20015,,51.00,4,3G,3G02
N ST NW,WASHINGTON,DC,20005,,17.00,2,2F,2F03
25TH ST SE,WASHINGTON,DC,20020,,116.00,8,8B,8B06
KENNEDY ST NW,WASHINGTON,DC,20011,,54.00,4,4C,4C01
E ST SE,WASHINGTON,DC,20019,,103.00,7,7F,7F03
CARPENTER ST SE,WASHINGTON,DC,20020,,109.00,7,7B,7B07
WINDOM PL NW,WASHINGTON,DC,20016,,30.00,3,3E,3E+01
O ST NW,WASHINGTON,DC,20005,,17.00,2,2F,2F04
V ST NE,WASHINGTON,DC,20002,,75.00,5,5E,5E+03
13TH ST NW,WASHINGTON,DC,20009,,137.00,1,1B,1B12
GT-HARBIN HALL XXXX NW,WASHINGTON,DC,20057,,6.00,2,2E,2E+08
UPSHUR ST NW,WASHINGTON,DC,20011,,46.00,4,4C,4C07
L ST SE,WASHINGTON,DC,20003,,91.00,6,6B,6B06
JAY ST NE,WASHINGTON,DC,20019,,94.00,7,7C,7C04
S ST NW,WASHINGTON,DC,20001,,137.00,1,1B,1B02
14TH ST SE,WASHINGTON,DC,20003,,87.00,6,6B,6B08
15TH ST NW,WASHINGTON,DC,20009,,16.00,2,2F,2F01
EAST CAPITOL ST NE,WASHINGTON,DC,20019,,96.00,7,7C,7C02
DELAFIELD PL NW,WASHINGTON,DC,20011,,55.00,4,4C,4C09
WISCONSIN AVE NW,WASHINGTON,DC,20007,,12.00,3,3B,3B02
16TH ST NW,WASHINGTON,DC,20009,,15.00,2,2B,2B04
VERPLANCK PL NW,WASHINGTON,DC,20016,,30.00,3,3E,3E+05
DECATUR ST NW,WASHINGTON,DC,20011,,48.00,4,4C,4C03
ELMIRA ST SW,WASHINGTON,DC,20032,,126.00,8,8D,8D06
EATON RD SE,WASHINGTON,DC,20020,,119.00,8,8C,8C06
22ND ST NE,WASHINGTON,DC,20018,,72.00,5,5C,5C02
NEWARK ST NW,WASHINGTON,DC,20008,,27.00,3,3C,3C09
WASHINGTON CIR NW,WASHINGTON,DC,20037,,4.00,2,2A,2A06
7TH ST NE,WASHINGTON,DC,20002,,83.00,6,6C,6C06
MICHIGAN AVE NE,WASHINGTON,DC,20017,,44.00,5,5A,5A05
WILMINGTON PL SE,WASHINGTON,DC,20032,,124.00,8,8C,8C04
CLERMONT DR NE,WASHINGTON,DC,20011,,44.00,5,5A,5A06
FRENCH ST NW,WASHINGTON,DC,20001,,21.00,6,6E,6E+01
HAYES ST NE,WASHINGTON,DC,20019,,99.00,7,7D,7D06
8TH ST NW,WASHINGTON,DC,20012,,63.00,4,4B,4B01
CONNECTICUT AVE NW,WASHINGTON,DC,20008,,34.00,3,3F,3F07
WALNUT ST NE,WASHINGTON,DC,20018,,71.00,5,5C,5C02
CHERRY RD NE,WASHINGTON,DC,20018,,139.00,5,5C,5C03
9TH ST NW,WASHINGTON,DC,20010,,49.00,4,4C,4C06
MINNESOTA AVE SE,WASHINGTON,DC,20020,,112.00,8,8A,8A02
TAYLOR ST NW,WASHINGTON,DC,20011,,45.00,4,4C,4C08
COMM JOSHUA BARNEY DR NE,WASHINGTON,DC,20018,,139.00,5,5C,5C03
BURBANK ST SE,WASHINGTON,DC,20019,,103.00,7,7F,7F02
EDGEWOOD ST NE,WASHINGTON,DC,20017,,74.00,5,5E,5E+02
MORTON PL NE,WASHINGTON,DC,20002,,83.00,6,6C,6C06
1ST ST SE,WASHINGTON,DC,20003,,130.00,6,6B,6B01
4TH ST SW,WASHINGTON,DC,20024,,128.00,6,6D,6D03
MYRTLE ST NW,WASHINGTON,DC,20012,,62.00,4,4A,4A01
13TH ST NW,WASHINGTON,DC,20012,,61.00,4,4A,4A03
SOUTHERN AVE SE,WASHINGTON,DC,20019,,110.00,7,7E,7E+02
WOODMONT PL SE,WASHINGTON,DC,20020,,114.00,8,8B,8B01
TEXAS AVE SE,WASHINGTON,DC,20019,,103.00,7,7F,7F03
4TH ST NE,WASHINGTON,DC,20011,,66.00,5,5A,5A08
5TH ST SE,WASHINGTON,DC,20003,,131.00,6,6D,6D07
7TH ST SE,WASHINGTON,DC,20003,,89.00,6,6B,6B02
CLAY ST NE,WASHINGTON,DC,20019,,96.00,7,7C,7C02
13TH ST NW,WASHINGTON,DC,20010,,42.00,1,1A,1A04
SOUTHERN AVE SE,WASHINGTON,DC,20032,,125.00,8,8E,8E+07
NEW MEXICO AVE NW,WASHINGTON,DC,20007,,28.00,3,3B,3B04
MICHIGAN AVE NE,WASHINGTON,DC,20017,,44.00,5,5A,5A05
HARVARD ST NW,WASHINGTON,DC,20009,,36.00,1,1A,1A12
22ND ST NW,WASHINGTON,DC,20037,,14.00,2,2B,2B06
T ST NW,WASHINGTON,DC,20007,,6.00,2,2E,2E+01
ALABAMA AVE SE,WASHINGTON,DC,20020,,110.00,7,7B,7B07
BASS PL SE,WASHINGTON,DC,20019,,104.00,7,7E,7E+04
EAST CAPITOL ST SE,WASHINGTON,DC,20003,,89.00,6,6B,6B02
NEW HAMPSHIRE AVE NW,WASHINGTON,DC,20011,,57.00,4,4D,4D02
9TH ST NW,WASHINGTON,DC,20011,,56.00,4,4D,4D04
NEVADA AVE NW,WASHINGTON,DC,20015,,50.00,3,3G,3G03
JEFFERSON ST NE,WASHINGTON,DC,20011,,66.00,5,5A,5A01
BEEKMAN PL NW,WASHINGTON,DC,20009,,24.00,1,1C,1C08
FESSENDEN ST NW,WASHINGTON,DC,20016,,31.00,3,3E,3E+03
PARK RD NW,WASHINGTON,DC,20010,,40.00,1,1D,1D04
25TH ST SE,WASHINGTON,DC,20020,,133.00,8,8A,8A01
G ST NE,WASHINGTON,DC,20002,,82.00,6,6A,6A02
A ST SE,WASHINGTON,DC,20019,,132.00,7,7F,7F06
45TH ST NE,WASHINGTON,DC,20019,,98.00,7,7D,7D05
FAIRMONT ST NW,WASHINGTON,DC,20001,,37.00,1,1B,1B03
JENIFER ST NW,WASHINGTON,DC,20015,,32.00,3,3G,3G07
INGOMAR ST NW,WASHINGTON,DC,20015,,32.00,3,3E,3E+04
LIVINGSTON TER SE,WASHINGTON,DC,20032,,125.00,8,8D,8D02
JOHNSON AVE NW,WASHINGTON,DC,20009,,16.00,2,2F,2F01
BRYANT ST NW,WASHINGTON,DC,20001,,135.00,5,5E,5E+09
PROUT ST SE,WASHINGTON,DC,20020,,133.00,8,8A,8A01
CONGRESS ST SE,WASHINGTON,DC,20032,,120.00,8,8E,8E+04
LONGFELLOW ST NW,WASHINGTON,DC,20011,,54.00,4,4C,4C01
T PL SE,WASHINGTON,DC,20020,,112.00,8,8A,8A02
CLAY PL NE,WASHINGTON,DC,20019,,101.00,7,7D,7D04
EUCLID ST NW,WASHINGTON,DC,20009,,23.00,1,1B,1B08
GRANT ST NE,WASHINGTON,DC,20019,,99.00,7,7D,7D06
E ST SE,WASHINGTON,DC,20019,,132.00,7,7B,7B01
U ST NW,WASHINGTON,DC,20001,,37.00,1,1B,1B01
SHEPHERD ST NW,WASHINGTON,DC,20011,,47.00,4,4C,4C04
GEORGIA AVE NW,WASHINGTON,DC,20012,,63.00,4,4B,4B02
KENYON ST NW,WASHINGTON,DC,20010,,39.00,1,1D,1D05
GREEN ST SE,WASHINGTON,DC,20020,,114.00,8,8A,8A04
BLADENSBURG RD NE,WASHINGTON,DC,20018,,139.00,5,5C,5C03
SAVANNAH TER SE,WASHINGTON,DC,20020,,116.00,8,8E,8E+03
GOOD HOPE  CT SE,WASHINGTON,DC,20020,,134.00,8,8B,8B01
I ST SE,WASHINGTON,DC,20003,,90.00,6,6B,6B03
FRANKLIN ST NE,WASHINGTON,DC,20017,,73.00,5,5B,5B03
40TH PL NW,WASHINGTON,DC,20007,,11.00,3,3B,3B03
34TH ST SE,WASHINGTON,DC,20020,,109.00,7,7B,7B07
MASSACHUSETTS AVE NW,WASHINGTON,DC,20001,,143.00,2,2C,2C02
P ST NW,WASHINGTON,DC,20005,,17.00,2,2F,2F04
RHODE ISLAND AVE NW,WASHINGTON,DC,20001,,21.00,6,6E,6E+02
24TH ST NE,WASHINGTON,DC,20002,,72.00,5,5C,5C04
HARVARD ST NW,WASHINGTON,DC,20009,,36.00,1,1A,1A12
PORTER ST NW,WASHINGTON,DC,20008,,27.00,3,3C,3C05
WYOMING AVE NW,WASHINGTON,DC,20009,,25.00,1,1C,1C01
KANSAS AVE NW,WASHINGTON,DC,20011,,46.00,4,4C,4C07
41ST ST NW,WASHINGTON,DC,20016,,32.00,3,3E,3E+04
36TH ST NW,WASHINGTON,DC,20007,,12.00,3,3C,3C08
LANG PL NE,WASHINGTON,DC,20002,,78.00,5,5D,5D03
BRUCE PL SE,WASHINGTON,DC,20020,,134.00,8,8B,8B03
13TH ST NW,WASHINGTON,DC,20005,,17.00,2,2F,2F07
COLORADO AVE NW,WASHINGTON,DC,20011,,53.00,4,4A,4A06
MADISON ST NW,WASHINGTON,DC,20011,,64.00,4,4B,4B06
ASPEN ST NW,WASHINGTON,DC,20012,,63.00,4,4B,4B02
HAYES ST NE,WASHINGTON,DC,20019,,100.00,7,7D,7D02
KENILWORTH AVE NE,WASHINGTON,DC,20019,,101.00,7,7D,7D04
NICHOLSON ST NE,WASHINGTON,DC,20011,,65.00,4,4B,4B09
HARVARD ST NW,WASHINGTON,DC,20009,,36.00,1,1A,1A12
11TH ST NW,WASHINGTON,DC,20001,,129.00,2,2F,2F04
WHITTIER ST NW,WASHINGTON,DC,20012,,61.00,4,4A,4A03
13TH ST NW,WASHINGTON,DC,20010,,42.00,1,1A,1A07
MORRISON ST NW,WASHINGTON,DC,20015,,32.00,3,3G,3G06
ARIZONA AVE NW,WASHINGTON,DC,20016,,8.00,3,3D,3D04
CONGRESS ST SE,WASHINGTON,DC,20032,,120.00,8,8E,8E+04
TRENTON PL SE,WASHINGTON,DC,20032,,120.00,8,8E,8E+04
7TH ST SE,WASHINGTON,DC,20003,,89.00,6,6B,6B02
BRUMMEL CT NW,WASHINGTON,DC,20012,,63.00,4,4B,4B01
I ST SE,WASHINGTON,DC,20003,,90.00,6,6B,6B03
NEWTON ST NE,WASHINGTON,DC,20018,,71.00,5,5C,5C01
21ST ST NE,WASHINGTON,DC,20002,,80.00,7,7D,7D01
PINEY BRANCH RD NW,WASHINGTON,DC,20012,,63.00,4,4B,4B02
APPLETON ST NW,WASHINGTON,DC,20008,,33.00,3,3F,3F06
NICHOLSON ST NW,WASHINGTON,DC,20011,,53.00,4,4A,4A06
T ST NE,WASHINGTON,DC,20002,,75.00,5,5E,5E+04
4TH ST NW,WASHINGTON,DC,20012,,63.00,4,4B,4B02
F ST NE,WASHINGTON,DC,20002,,82.00,6,6A,6A02
T ST NE,WASHINGTON,DC,20002,,75.00,5,5E,5E+04
RANDOLPH ST NW,WASHINGTON,DC,20011,,45.00,4,4C,4C10
M ST SW,WASHINGTON,DC,20024,,127.00,6,6D,6D05
Q ST NW,WASHINGTON,DC,20007,,5.00,2,2E,2E+06
14TH PL NW,WASHINGTON,DC,20012,,61.00,4,4A,4A03
Q ST NE,WASHINGTON,DC,20002,,75.00,5,5E,5E+04
TUCKERMAN ST NW,WASHINGTON,DC,20011,,64.00,4,4B,4B07
CAPITOL AVE NE,WASHINGTON,DC,20002,,76.00,5,5D,5D01
HANOVER PL NW,WASHINGTON,DC,20001,,19.00,5,5E,5E+05
19TH PL SE,WASHINGTON,DC,20020,,114.00,8,8A,8A05
G ST SE,WASHINGTON,DC,20019,,104.00,7,7E,7E+04
SOUTH CAPITOL ST SE,WASHINGTON,DC,20032,,126.00,8,8D,8D06
9TH ST SE,WASHINGTON,DC,20003,,88.00,6,6B,6B05
BOWEN RD SE,WASHINGTON,DC,20020,,119.00,8,8A,8A06
9TH ST NW,WASHINGTON,DC,20011,,58.00,4,4B,4B04
12TH ST SE,WASHINGTON,DC,20003,,91.00,6,6B,6B07
APPLE RD NE,WASHINGTON,DC,20018,,139.00,5,5C,5C03
SAVANNAH ST SE,WASHINGTON,DC,20020,,116.00,8,8E,8E+03
WAYNE PL SE,WASHINGTON,DC,20032,,124.00,8,8C,8C04
NORTH CAPITOL ST NW,WASHINGTON,DC,20002,,1.00,6,6E,6E+06
17TH ST NW,WASHINGTON,DC,20010,,39.00,1,1D,1D01
RODMAN ST NW,WASHINGTON,DC,20008,,27.00,3,3C,3C05
P ST NW,WASHINGTON,DC,20007,,5.00,2,2E,2E+06
7TH ST NW,WASHINGTON,DC,20011,,59.00,4,4B,4B04
QUINCY ST NW,WASHINGTON,DC,20011,,47.00,4,4A,4A08
QUEBEC PL NW,WASHINGTON,DC,20010,,49.00,4,4C,4C06
25TH ST NW,WASHINGTON,DC,20037,,3.00,2,2A,2A03
BENNING RD SE,WASHINGTON,DC,20019,,103.00,7,7F,7F03
46TH PL SE,WASHINGTON,DC,20019,,106.00,7,7E,7E+01
53RD ST NE,WASHINGTON,DC,20019,,96.00,7,7C,7C02
58TH ST NE,WASHINGTON,DC,20019,,95.00,7,7C,7C06
STANTON RD SE,WASHINGTON,DC,20020,,116.00,8,8B,8B07
34TH PL NE,WASHINGTON,DC,20019,,101.00,7,7D,7D04
G ST SE,WASHINGTON,DC,20019,,106.00,7,7E,7E+03
HOBAN RD NW,WASHINGTON,DC,20007,,7.00,3,3D,3D09
OVERLOOK RD NW,WASHINGTON,DC,20016,,9.00,3,3D,3D03
SEWARD SQ SE,WASHINGTON,DC,20003,,89.00,6,6B,6B02
WESTOVER PL NW,WASHINGTON,DC,20016,,10.00,3,3D,3D01
REGENT PL NE,WASHINGTON,DC,20017,,74.00,5,5E,5E+01
2ND ST SE,WASHINGTON,DC,20003,,130.00,6,6B,6B01
C ST NE,WASHINGTON,DC,20002,,86.00,6,6A,6A04
31ST ST SE,WASHINGTON,DC,20019,,132.00,7,7B,7B01